filename,slug,group,size_bytes,duration_seconds,sha256
cc-01-find-your-way-around.mp3,cc-01-find-your-way-around,challenge,5192781,551.76,2ac5d556b0e3e0409e03bf0882943c79815c21bfade31548c0fe60aabe478242
cc-02-file-your-first-issue.mp3,cc-02-file-your-first-issue,challenge,5564229,590.88,fe55d0f5a4c0bc2fae61529a186d4906cb119c40a38ed4ac231e1a421baaabdb
cc-03-join-the-conversation.mp3,cc-03-join-the-conversation,challenge,5684973,610.82,4ede8541e3746347fa0feb9892c9645455505900f14c9b9abfaa101b9c70564a
cc-04-branch-out.mp3,cc-04-branch-out,challenge,5506389,583.8,e9a49a6179cb2daa255717438c71d4f23e2c3e3710aaca4d1834193706b72391
cc-05-make-your-mark.mp3,cc-05-make-your-mark,challenge,5705205,609.34,876271134fb914e2dc01a5781bbc1ae4066aa91d2d5c356693dbc078fee5d9c2
cc-06-open-your-first-pr.mp3,cc-06-open-your-first-pr,challenge,6085077,646.39,b3fe24598785d3492714b89b4e246218a58506ba502d041075fdc5daf00980af
cc-07-survive-a-merge-conflict.mp3,cc-07-survive-a-merge-conflict,challenge,5427693,575.57,f0ea227c7eb423ab7d0d1e6cf77cf92fc631dd9b9badfed128144159a31d36fd
cc-08-open-source-culture.mp3,cc-08-open-source-culture,challenge,6975933,738.14,cbe5805a83143dcb25b527cd6a8c5f468ef441d3eb45a37af882432cfce6e58c
cc-09-merge-day.mp3,cc-09-merge-day,challenge,5969901,633.46,3ea80a84ff92fe77472aa4967a157f93cca1ef9047c71d725291e633dd9f3252
cc-10-go-local.mp3,cc-10-go-local,challenge,6547245,696.17,9150698d45b0c64b2dce3cdf98bb4fd96a0668951798578eaf6a8bc8ec47f543
cc-11-day-2-pull-request.mp3,cc-11-day-2-pull-request,challenge,4403925,469.63,d084df5e44bbb5de4a659ccb40c93a4a06fc579e4ae2fe53902da4608291bba5
cc-12-code-review.mp3,cc-12-code-review,challenge,5401677,569.3,df81fb998e2ea08552458d216e9de23eeacbecf99fbe32d1942e8a6a5e711b25
cc-13-copilot-as-collaborator.mp3,cc-13-copilot-as-collaborator,challenge,7149741,753.65,394fd8b2e2765779fb3ee136cd105994d0700cb36b064e1e801c5f3f408f9546
cc-14-design-an-issue-template.mp3,cc-14-design-an-issue-template,challenge,6050973,639.6,1312bc190d949d5c013b568ddf3b9cedd9d660ce3211ce237897edd5503e0051
cc-15-discover-accessibility-agents.mp3,cc-15-discover-accessibility-agents,challenge,9357189,986.45,c37887db12a5fa73bbb5758902cfd00a710d60832931653d58ef65a7c7a88f16
cc-16-build-your-own-agent.mp3,cc-16-build-your-own-agent,challenge,6740325,711.1,03b7c13c5807c4184e0e91f96441fab415cd4390c42c291b80d64a8c39cf6f61
cc-bonus-a-improve-agent.mp3,cc-bonus-a-improve-agent,bonus,5491557,582.02,780c478d6f6ad369e4930cdbd2fb0d35665f9cf977bec7840fd9eb3593b4ba16
cc-bonus-b-document-your-journey.mp3,cc-bonus-b-document-your-journey,bonus,6242133,662.23,7d83d8be22446d32a702a15aed54e5def17639e7ee3517e9467aa92a305f9ce4
cc-bonus-c-group-challenge.mp3,cc-bonus-c-group-challenge,bonus,7668981,815.18,1123525fd698f31b854331a1688b334f43e3c63d9effdcdbaad53bfda37f90a5
cc-bonus-d-notifications.mp3,cc-bonus-d-notifications,bonus,5068389,532.42,95e2e2bedd1aeadcb82f6a6f7c072a9105b259ea813e5a1f2e980d65f7938f53
cc-bonus-e-git-history.mp3,cc-bonus-e-git-history,bonus,6182589,656.21,99320384351c97628e963c6d56e1a16368bb3dfd14593a5c59a24189f1b40dfa
ep00-welcome.mp3,ep00-welcome,ep,4990485,527.57,ef4a56491493cd0e6f282f787436e5bf5c323bbe2e12b62641d7c90cf4fc894b
ep01-pre-workshop-setup.mp3,ep01-pre-workshop-setup,ep,7507795,781.58,67b81be12cc630920059687625e26080fd8957ee37d5bc3bce574bf1a4d9fcbd
ep02-github-web-structure.mp3,ep02-github-web-structure,ep,5060829,539.59,142b9d9f942bb1f13b6c5237cc37e7feab2da781f1e4c3cfe619b4758911d02d
ep03-navigating-repositories.mp3,ep03-navigating-repositories,ep,5322381,564.38,8174c26623dc17b4dfaaa3f8d16579a2eecea41d62bdf98561a00752570615bf
ep04-the-learning-room.mp3,ep04-the-learning-room,ep,6211821,660.14,b27f8f85fab9252dbf0c6fd4d9aad9ca309b9e8519b6e0bb23a5fdb1f1a13181
