uuid,track_number,group,current_filename,filename
83f42282-5dd3-4155-9809-a309af1566f8,65,ep,ep34-github-actions.mp3,tools-10-github-actions.mp3
afe0af59-e122-4946-b257-83820bb772f6,66,ep,ep35-profile-sponsors-wikis.mp3,tools-11-profile-sponsors-wikis.mp3
f9b69058-5a1f-4550-8540-68310a5a2bbd,67,ep,ep36-organizations-templates.mp3,tools-12-organizations-templates.mp3
3ba6d2d5-808a-4f31-a8ac-088f38f5655b,68,ep,ep39-accessibility-agents-reference.mp3,agents-01-accessibility-agents-reference.mp3
60e9e20d-59dc-4618-b21f-eba8a2f087e7,69,ep,ep40-copilot-reference.mp3,agents-02-copilot-reference.mp3
bd284e08-3097-4b46-a237-c586cf916d3e,70,ep,ep41-copilot-models.mp3,agents-03-copilot-models.mp3
9db086ca-c6c0-476d-bfdb-74fb16ed4970,71,ep,ep44-choose-your-tools.mp3,agents-04-choose-your-tools.mp3
54161b03-64e0-4aec-867b-360ce3846a3a,72,ep,ep54-agent-installation-setup.mp3,agents-05-agent-installation-setup.mp3
19d7104a-29aa-4ec0-8d16-c03735d76e86,73,ep,ep55-advanced-agent-patterns.mp3,agents-06-advanced-agent-patterns.mp3
a3f97849-1fa6-4a48-b0b8-232002bcaf0c,74,ep,ep28-branch-protection.mp3,sec-01-branch-protection.mp3
bd10a748-164c-48a5-a02c-d75be1243a81,75,ep,ep29-security-features.mp3,sec-02-security-features.mp3
a8f94597-272c-45c9-982c-b06cd9adc54a,76,ep,ep30-vscode-accessibility-reference.mp3,a11y-01-vscode-accessibility-reference.mp3
5f1a86b1-0325-437f-bba5-2870f74ba30c,77,ep,ep45-vscode-accessibility-deep-dive.mp3,a11y-02-vscode-accessibility-deep-dive.mp3
dfd1b7c1-6692-40b4-9085-671158a24faa,78,ep,ep49-github-accessibility-and-open-source.mp3,a11y-03-github-accessibility-and-open-source.mp3
8dc5a501-50d6-4ece-bd97-a39bad8e7345,79,ep,ep56-document-developer-tools.mp3,a11y-04-document-developer-tools.mp3
